video_id;comment_id;comment;comment_likes
DLikpfc64cA;142;Mil gracias Estefanía, sos espectacular explicando!;0
DLikpfc64cA;143;Felicitaciones. Excelente curso, breve y muy claro. Muy recomendado. Muchas gracias.;1
DLikpfc64cA;144;Soy italiano y este es el mejor curso que he hecho hasta ahora aquí en YouTube, explicas muy bien y tu metodología es muy eficiente. Quería preguntarte ahora qué puedes recomendar para practicar, ¿hay otros cursos o plataformas donde es posible practicar? Hola y gracias de nuevo!;0
DLikpfc64cA;145;????;0
DLikpfc64cA;146;donde puedo optener mi certificado del curso de python ?? @codingwithestefania;0
DLikpfc64cA;147;¡Gracias!;1
DLikpfc64cA;148;Muchas gracias por el curso. Es muy claro;0
DLikpfc64cA;149;Veo que editor de python falla;0
DLikpfc64cA;150;Muchas gracias por su gran aporte, saludos desd México;1
DLikpfc64cA;151;Excelente, muy didáctico, fácil de entender para alguien de 70 años como yo;8
DLikpfc64cA;152;Que excelente introducción al vídeo;1
DLikpfc64cA;153;profe exelente explicacion muy completa profe un pdf con cada explicacion saludos desde soata boyaca colombia;1
DLikpfc64cA;154;Excelente tu pedagogía Estefy, me encanta tu forma de enseñar. Así imposible no aprender...te sigo.;1
DLikpfc64cA;155;Hola que tal... estoy interesado en aprender en programar con Paython, y he encontrado éste curso, me pregunto es que si éste curso me sirve para iniciarme a programar en éste lenguaje ya que es un video del año 2021.. gracias saludos desde canada;0
DLikpfc64cA;156;Gracias gracias !!! Magistral el curso!;1
DLikpfc64cA;157;Excelente el curso y muy bueno como explica la instructora con mucha paciencia y entendible para los que somos novatos de verdad la recomiendo 100%.??;0
DLikpfc64cA;158;Estefania cuales son las ventajas de aprender con Idle en comparación a. visual studio code, anaconda y Júpiter ??;0
DLikpfc64cA;159;Ayuda porfi.;0
DLikpfc64cA;160;Hola Campeona ?? para que queden todos guardados en la memoria tengo que guardar todas las variables en el mismo idle;0
DLikpfc64cA;161;Muchas gracias por la información, linda voz...;1
DLikpfc64cA;162;Quien hoy después de dos años ya ws programador con Python?;0
DLikpfc64cA;163;Es mejor trabajar con la consola de python o con visual code?;0
DLikpfc64cA;164;excelente información Señorita gracias por su tiempo y paciencia 100% de 100%  la forma de en señar , una consulta podrías realizar un vídeo de cómo instalar en openpyxl en Python, estoy trabajando en un programa basado en excel;0
DLikpfc64cA;165;Y es python 3?;0
DLikpfc64cA;166;Gracias muy linda, estoy haciendo tu curso, te deseo mas millones de usuarios.;0
DLikpfc64cA;167;"Hola, cuando googlee Curso de Pyhton, cai a éste curso para &quot;probar &quot; uno más, ni bien comencé no pude detenerme, nunca me aburrió, abri mi consola y todos los ejemplos los pude probar, me agradaba el tono de voz y la pausa para explicar y resaltar los items importantes del Lenguaje. Al pasar la primera hora hice una pausa y se me dio por ver los comentarios ..... con razón tantas moscas no podían equivcarse ! Es excelente docente ésta profe, es imposible aburrirse y no responder las preguntas de testing. Muchas gracias @codingwithestefania y freeCodeCamp Español";0
DLikpfc64cA;168;Excelente este video y estoy como el Sr. de 81 años que con 63 aprendiendo y fácil. Gracias<br>Y nunca es tarde;0
DLikpfc64cA;169;De todos los que he podido ver  le soy sincero y he visto muchos cursos muy buenos pero decir que este curso es bueno es faltar el respeto al autor. usted dio  catedra de manera que no existe la posibilidad de no entender . No creo que esperes que a las personas le gusta ya sabes que va a gustar porque si..;0
DLikpfc64cA;170;Lo podré instalar en Visual Studio Code. lo intentaré.;1
DLikpfc64cA;171;Hola, soy Nuevo, dejo mi manita, espero poder aprender, estuve intentando aprender Js y es muy complicado, siempre me salian errores en el editor, al menos espero aprender aqui, sino aprendo RENUNCIARE a la PROGRAMACIÓN y me dedico a la SOLDADURA.;1
DLikpfc64cA;172;Excelente curso, me ayudó mucho a entender la programación en Python. Gracias por compartir.;1
DLikpfc64cA;173;Hola Stefania,<br>Mi nombre es Jesus Alirio Carrillo. Yo he seguido el curso de Python y me pareció estupendo. Ahora trato de utilizar Python para graficar, pero no encuentro la forma de download la librería matplolib que supuestamente es necesaria para construir gráficos. En donde la bajo: en python o en una ventana nueva y que comandos utilizo?;0
DLikpfc64cA;174;Excelente. Mejor explicado que cualquier otro curso;0
DLikpfc64cA;175;Muy Buen Curso, completamente recomendable. Abarca todo en Python y las explicaciones son muy claras. Se aprende mucho. Enhorabuena;1
DLikpfc64cA;176;Me gustaría que hicieras una pagina y que se pudiera practicar ahí mismo.;0
DLikpfc64cA;177;Profesora, para que sirve hacer  rebanadas? Gracias.;0
DLikpfc64cA;178;"Programa: secuencia de instrucciones que el pc puede entender.<br>PEMDAS: la abreviación de &#39;Paréntesis&#39;, &#39;Exponentes&#39;, &#39;Multiplicación&#39;, &#39;División&#39;, &#39;Suma&#39; (addition, en inglés) y &#39;Resta&#39; (substraction)<br><br>For; interables, uso de &#39;in&#39;; reasignación de la variable dummy en cada iteración.<br>Functions: DRY.... son entorn que pueden comunicarse con el proframa pincipal... de ida y vuelta<br>Argumentos: valores de los parámetros<br>La dindentación del código en un if no s dice que son instrucciones que pueden no ejecutarse en el programa principal.... la condicion en elif no tiene por que tener que ver con la condición en el if.<br>En las funciones recursivas al igual que en los while se debe poner el freno: caso base";0
DLikpfc64cA;179;Te luciste amiga, excelente curso;0
DLikpfc64cA;180;Dios te bendiga Amiga;1
DLikpfc64cA;181;A mis 81 años no pensé encontrar alguien que pueda estimular el conocimiento de un lenguaje, lo lograste !! Estefania, excelente, mil gracias;103
DLikpfc64cA;182;Gracias por el curso, excelente y fácil de entender.;1
DLikpfc64cA;183;Felicitaciones, impecable todo el curso, se me complico practicando con la consola el ejemplo de como manejar las excepciones (try /except y finaly) y tengo que entender la lógica de class, pero todo clarimo y muy bien explicado, 100% recomendable, muchas gracias!;0
DLikpfc64cA;184;Tenes un montón de tutoriales de programación cual es tu secreto ? yo no puedo aprender a hacer un print   la verdad que te envidio lo inteligente que es  voy a seguir intentando??;0
DLikpfc64cA;185;Y si yo no se ningún lenguaje y entonces como, puedo aprender Phyton si no se nada ?????????? ni de backend or front end;0
DLikpfc64cA;186;muchas gracias por el curso de verdad sele agradece muchisimo gracias;0
DLikpfc64cA;187;Me gusta su voz ya gustando eso con placer escuchas.. Gracias por El curso.. Te amo?!;0
